docno,query,baselineScore,expandedScore
GX058-10-5669493,791,-10.022840921546997,-7.51428179268419
AP890406-0119,142,-9.423121063648598,-9.330203356440936
FT934-5147,332,-8.26175018248237,-7.967762465857217
GX037-41-11641254,720,-6.117650124828435,-6.217328902397691
WTX089-B39-68,483,-14.38067355178621,-14.139725918199403
GX244-07-12005999,788,-6.766389056898499,-6.367418357171145
AP890302-0037,158,-8.2528712960295,-7.683046982606736
WTX081-B02-21,454,-10.750155107142223,-7.620498002190621
AP890209-0263,191,-9.00912755049392,-8.955479431805044
FBIS3-41598,357,-10.268116498880582,-10.218787664300105
WTX054-B01-194,454,-9.823315628866961,-7.211964820187158
AP880622-0299,197,-10.49389292960164,-10.16164702028815
FR940217-2-00013,304,-6.793365983970505,-6.471211104395541
FR940217-2-00013,314,-8.9758636237949,-8.74270034656512
FR940217-2-00013,355,-10.238625502307539,-10.294169372537748
FR940217-2-00013,399,-12.530276796722637,-9.412536999369978
FR940217-2-00013,439,-10.840276131173784,-10.856528840953347
WTX076-B01-163,530,-11.989579386855851,-8.865503731099487
AP890218-0025,110,-8.018544371231235,-7.4730701022901425
WTX032-B12-153,530,-12.349008280931859,-12.395803909916992
AP890410-0259,152,-9.21378576858665,-9.03159142129835
AP881013-0147,193,-9.784344579855386,-9.074205270301068
AP890902-0140,130,-8.62362040616691,-7.377254077689573
AP890902-0140,145,-9.136577322326684,-8.541943026738103
AP880930-0069,138,-8.792467065920428,-7.774297495036561
AP890629-0038,142,-9.5192125639242,-8.421880309989405
AP890629-0038,143,-7.90938820384466,-7.659953711049781
AP880802-0131,151,-10.964744484825104,-10.506221511623064
AP880321-0151,146,-8.324399214013212,-7.915112111287359
FBIS3-22836,376,-7.130888721156005,-6.9461600067153135
FBIS3-22836,389,-8.222439005695746,-8.399939170580538
AP890412-0121,133,-10.49481286460045,-7.886489735728974
AP890228-0135,151,-12.154144233703633,-11.79857903970984
AP890228-0135,156,-7.81442440161216,-7.973549522575327
LA100690-0107,350,-7.027711383463716,-7.271173376110595
FT923-8257,321,-10.00456144600842,-10.149615108720113
FT923-8257,356,-12.684826553280239,-12.621978252472118
AP880725-0117,121,-6.347194447134582,-6.090968533401069
AP880725-0117,122,-9.084210320819246,-8.979775073577486
AP880725-0117,123,-7.539446335624085,-7.635006984650179
AP880725-0117,124,-9.8976086621812,-8.753587967942739
AP880725-0117,135,-9.295751899481127,-9.07983222890966
AP880725-0117,160,-10.961515099975635,-9.971624381432337
AP880725-0117,198,-10.537744399997457,-9.64218218736329
LA050290-0059,333,-9.317537605496629,-8.040035934941667
LA050290-0059,370,-7.522100918235199,-7.3299144193930825
LA050290-0059,427,-11.17177370808286,-9.850306441155439
FBIS3-33282,354,-8.91307352897802,-9.046940017502646
FBIS3-33282,446,-8.998278918380093,-9.227433653817613
GX239-77-15534054,725,-7.0576562215888625,-7.222392448088107
AP880727-0195,135,-10.05854698618383,-9.710219969364154
AP880727-0195,198,-10.905514369122265,-10.073213330285988
WTX095-B42-140,477,-9.64963040017598,-8.997208773761264
AP880321-0121,127,-9.267196314186034,-8.0514504906789
FT942-768,352,-10.841897076792467,-10.885102631262017
FT942-768,395,-7.1625010389749,-6.89459193304039
FT942-768,438,-7.182167612588202,-7.106919444804129
GX162-40-16201712,716,-11.75716769451054,-11.775488527829559
AP890712-0128,189,-9.480832111686437,-9.330068458569517
AP890713-0202,140,-10.247967103711723,-9.65628330952762
AP890713-0202,155,-9.40369899095455,-9.10909381018629
AP880706-0326,183,-7.482438471129263,-7.074532712201266
AP890722-0115,155,-8.368604743068977,-8.599030413794582
FR940111-2-00031,366,-8.304521162949344,-8.32944190073106
WTX100-B38-46,474,-10.93556399659872,-11.679403582215663
GX005-53-8274005,728,-6.525282408435963,-6.451818190532069
LA061390-0077,382,-10.584378630099264,-10.518323408276599
LA061390-0077,407,-11.534821581373166,-11.61832599192355
LA061390-0077,641,-7.803235584368825,-7.682011557295448
LA061390-0077,670,-8.464709313637385,-8.111831743299991
FT931-11616,318,-8.660733848061385,-8.51580100901415
FT931-11616,445,-7.79698842692094,-7.590514916751621
FT931-11616,621,-9.314376974012866,-7.647608166901578
AP890509-0192,105,-7.743412678349407,-7.784004262597298
AP890509-0192,195,-9.773782826514388,-9.072391657335867
