user,docno,query,relevance,probChange,totalProbTarget,totalProbExpansion,totalProbExpanded,qtotalProbTarget,qtotalProbExpansion,qtotalProbExpanded,totalProbTargetQL,totalProbExpansionQL,totalProbExpandedQL,qtotalProbTargetQL,qtotalProbExpansionQL,qtotalProbExpandedQL,ttProbTtest,qProbTtest,ttAPTarget,ttAPExpansion,ttAPExpanded,qAPTarget,qAPExpansion,qAPExpanded,pqTTRecall,qpqRecall,pqTTResultsRecall,qpqResultsRecall,qTTSim
ZJDLX,AP880917-0104,148,0,-3.316637614481906E-4,3.585480860249543E-4,2.688432457676371E-5,2.2588258144567804E-4,8.995708437836615E-4,9.634431211966145E-4,9.251197547488427E-4,-7.933447775747959,-10.523967170697636,-8.395495244830759,-9.480126346616634,-8.987039870996007,-9.097714456889333,-1.0,0.9277925865235048,0.008,3.3944331296673454E-4,0.007692307692307693,0.011111111111111112,0.006356082161917301,0.009523809523809523,1.0,0.3333333333333333,0.0,0.0,0.0
ZJDLX,AP880721-0095,125,1,1.4370208564214474E-4,2.524745203069884E-4,3.9617660594913314E-4,3.0995535456384627E-4,0.005157815912110409,0.010152804560013537,0.007155811371271659,-8.284200224015876,-7.833650471507894,-8.079082288392582,-7.298981322739294,-7.303060040747776,-7.243993693162405,-1.0,0.4765253167631375,0.0,0.006711409395973154,0.0,0.31372549019607837,0.2861875368924241,0.35833333333333334,0.0,0.25,0.0,0.2,0.0
ZJDLX,AP880721-0095,172,0,1.4370208564214474E-4,2.524745203069884E-4,3.9617660594913314E-4,3.2432556312806077E-4,0.003267633962642273,0.010113975976470119,0.0066908049695561965,-8.284200224015876,-7.833650471507894,-8.033762722200802,-9.919697389449398,-8.619604786587763,-8.985802669421668,-1.0,0.2716801324839958,0.0,0.006711409395973154,0.0,0.0625,0.1354338802048229,0.125,0.0,0.125,0.0,0.04,0.0
ZJDLX,AP880721-0095,173,1,1.4370208564214474E-4,2.524745203069884E-4,3.9617660594913314E-4,3.2432556312806077E-4,0.0026446396736986085,0.009251914849437678,0.005948277261568143,-8.284200224015876,-7.833650471507894,-8.033762722200802,-8.590622234009274,-5.970802208886847,-6.520396777754632,-1.0,0.4183666875355526,0.0,0.006711409395973154,0.0,0.25,0.5204081632653061,0.5,0.0,0.5,0.0,0.44,0.0
ZJDLX,WTX099-B24-354,503,0,-0.006275603494328754,0.009607577053897547,0.0033319735595687917,0.005214654607867419,0.0015562113105951636,0.0031949243053132747,0.002703310406897841,-7.208145018440221,-8.764446637831252,-7.657193733166281,-8.915480983494676,-8.780704699037603,-8.784984297616695,0.06143844383821569,0.5016538057672435,0.17814446458628047,0.020341833698723454,0.15130571317146982,0.05,0.25,0.5,0.8,0.5,0.0,0.0,0.0
ZJDLX,FBIS3-39240,362,0,-0.0010605295025577477,0.006493255726522419,0.005432726223964672,0.00606904392549932,5.321564095934619E-4,5.43311441100726E-4,5.366184221963676E-4,-8.316732903228223,-7.964487561404211,-7.6572432515009,-9.40475133274814,-8.317286466642777,-8.6249953636394,0.4268684592253761,0.97354259930816,0.1123159251957722,0.03791938747153633,0.12233806967140301,0.009615384615384616,0.004486466444197256,0.011904761904761904,0.6,0.0,0.1,0.0,0.0
ZJDLX,FBIS3-39240,401,1,-0.0010605295025577477,0.006493255726522419,0.005432726223964672,0.00606904392549932,0.00197321900886031,0.00255738378955799,0.0022068849211393823,-8.316732903228223,-7.964487561404211,-7.6572432515009,-8.269345983959312,-8.081113376732173,-8.188110060425013,0.4268684592253761,0.20123720337898124,0.1123159251957722,0.03791938747153633,0.12233806967140301,0.037037037037037035,0.05270249578931251,0.047619047619047616,0.6,0.3333333333333333,0.1,0.0,0.0
ZJDLX,GX009-91-3983369,718,0,4.966069356969106E-4,0.0010138734172830891,0.0015104803529799996,0.0011131948044224712,0.014005121231033214,0.008623212680681863,0.012928739520962943,-7.992868466943058,-10.061284107566063,-7.9374748882979045,-7.060702851236867,-6.8865775421616355,-6.9225446077613855,0.7034261545906154,0.21542991393813704,0.011944616533231667,0.021938845468257234,0.016186731689208003,0.38888888888888884,0.6673241288625903,0.38888888888888884,0.0,0.6666666666666666,0.06666666666666667,0.26666666666666666,0.0
ZJDLX,FBIS3-40185,414,0,-6.112382854443172E-4,7.763679839606994E-4,1.651296985163822E-4,5.318726697829725E-4,0.002126602761298933,0.009029133735520573,0.00488761515098759,-7.16088394404633,-8.708779341226027,-7.53910643978283,-8.50428430292157,-7.584248050490014,-8.006088813423712,-1.0,0.40627215590715715,0.06666666666666667,0.0016835016835016834,0.07142857142857142,0.1111111111111111,0.3361901165346792,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0
ZJDLX,AP890424-0284,195,1,3.650945165795301E-5,3.941973693972834E-4,4.3070682105523643E-4,4.1245209522625993E-4,0.005672427188347745,0.01213153525975252,0.008901981224050134,-7.838658836537116,-7.750082928891848,-7.793390491718297,-10.008235532023013,-9.117892218924103,-9.294347971211998,-1.0,0.09565433707223976,0.0078125,0.006622516556291391,0.013157894736842105,0.2516385954642613,0.3731496463994842,0.34563492063492063,1.0,0.2857142857142857,0.04,0.2,0.0
ZJDLX,FT941-10100,450,1,-3.2643176133791835E-4,0.0011902182270670544,8.637864657291361E-4,0.0010596455225318872,0.005224771462994648,0.006157887636554682,0.005598017932418662,-6.733618604581544,-7.054184965852693,-6.849820839492326,-6.431628715897155,-6.203498593037823,-6.3240990788141085,-1.0,0.4508079735766073,0.0625,0.02,0.0625,0.4789272030651341,0.13006993006993006,0.34920634920634913,1.0,1.0,0.0,0.3,0.0
ZJDLX,GX011-80-1074652,714,0,-0.001174705591064566,0.0015840087067010757,4.093031156365096E-4,0.0013490675884881625,0.0061098323217602096,0.004454096765088282,0.005778685210425825,-6.44779648895029,-7.801054562385166,-6.608341600351746,-7.4474879196595785,-7.614450770608508,-7.364291121140765,-1.0,0.6850235987211166,0.06666666666666667,0.006289308176100629,0.0625,0.22196969696969696,0.0907860001817507,0.22248427672955973,1.0,0.5,0.0,0.0,0.0
ZJDLX,WTX101-B11-76,480,0,-0.0013627032640090024,0.0016520965882980865,2.8939332428908407E-4,6.982043034917848E-4,0.002149853093251847,0.003252029038986997,0.0029213762552664515,-6.405710138099719,-8.147723811451455,-7.266998799617426,-7.306805446552482,-6.88714628563722,-6.952543120619759,-1.0,0.45401917051607066,0.07692307692307693,0.0036101083032490976,0.02702702702702703,0.02882964988228146,0.07163561076604555,0.08862044817927171,1.0,0.3333333333333333,0.0,0.15,0.0
ZJDLX,WTX016-B14-3,500,1,7.466677009243497E-4,9.241055426407243E-6,7.55908756350757E-4,5.31908446073452E-4,0.004180109160221306,0.0034788976530604216,0.0036892611052086865,-11.591854455196557,-7.1875898817264146,-7.53903917727937,-6.2617964800817845,-6.60116653210083,-6.476339544368683,-1.0,0.372696282417769,0.0,0.025,0.0,0.3088235294117647,0.1425438596491228,0.21666666666666667,0.0,1.0,0.1,0.05,0.0
ZJDLX,GX010-11-11242343,804,1,-0.0010015011656639024,0.0010250708662244866,2.3569700560584083E-5,8.247706330917061E-4,0.006558324228090244,0.011497841512983359,0.007546227685068867,-6.882993531001685,-10.655548545357261,-7.100405230779358,-7.889829206836708,-6.116524337989211,-6.914229864705705,-1.0,0.181895312124509,0.05,3.26477309826967E-4,0.045454545454545456,0.4666666666666666,0.6716417910447761,0.6666666666666666,1.0,0.6666666666666666,0.0,0.4666666666666667,0.0
ZJDLX,FT931-4409,389,1,2.350497684985972E-6,6.028210402841759E-4,6.051715379691618E-4,6.037612393581702E-4,3.0935437120358915E-4,3.135867718840032E-4,3.110473314757548E-4,-8.161842694620088,-8.26294455694624,-8.193958318575035,-9.34989960937746,-9.390389705003077,-9.365036970852898,0.9877651413816434,0.8599534111888337,0.003787878787878788,0.005347655347655348,0.006097560975609756,0.0,0.001734917960128367,0.0,0.0,0.0,0.0,0.0,0.0
ZJDLX,WTX018-B20-194,537,0,-6.967875345997576E-4,7.551602706466582E-4,5.8372736046900664E-5,2.6740899642682794E-4,0.003177707355281568,5.508037097241291E-4,0.0013388748033913607,-7.188580552241052,-9.748661625649762,-8.226731249782993,-8.611038920825953,-9.607794065441194,-9.142784826168002,-1.0,0.4007367041721507,0.03333333333333333,8.361204013377926E-4,0.02857142857142857,0.05555555555555555,0.00392156862745098,0.06666666666666667,1.0,0.3333333333333333,0.0,0.0,0.0
