UOPBK,FT941-8610,443,0,0.0,0.0,0.0,0.0
KIMCZ,FT941-10100,450,1,0.18181818181818182,0.6666666666666666,0.05263157894736842,0.1
UOPBK,FBIS4-33117,332,0,0.0,0.0,0.0,0.0
UOPBK,FR940318-0-00101,338,0,0.0,0.0,0.0,0.0
BLOPD,FT934-3952,352,0,0.0,0.0,0.05263157894736842,0.1
UOPBK,FBIS3-39240,362,0,0.0,0.0,0.0,0.0
BLOPD,FT934-3952,363,0,0.09090909090909091,0.3333333333333333,0.0,0.0
UOPBK,LA111690-0002,398,1,0.07692307692307693,0.25,0.05263157894736842,0.1
UOPBK,FBIS3-39240,401,1,0.08333333333333333,0.3333333333333333,0.0,0.0
UOPBK,FBIS3-40185,414,0,0.08333333333333333,0.3333333333333333,0.05263157894736842,0.1
BLOPD,FT934-3952,436,0,0.0,0.0,0.0,0.0
UOPBK,FT941-10100,450,1,0.3,1.0,0.3333333333333333,0.5
UOPBK,FBIS4-33117,650,0,0.0,0.0,0.0,0.0
HSOAQ,FT942-6494,687,1,0.0,0.0,0.0,0.0
KIMCZ,LA071190-0129,313,1,0.18181818181818182,0.6666666666666666,0.17647058823529413,0.3
KIMCZ,FT923-10363,331,0,0.0,0.0,0.0,0.0
KIMCZ,FT923-10363,343,1,0.2,1.0,0.1111111111111111,0.2
KIMCZ,FT934-7301,417,0,0.0,0.0,0.0,0.0
KIMCZ,FT943-9539,603,0,0.0,0.0,0.0,0.0
KIMCZ,FT933-219,608,0,0.0,0.0,0.0,0.0
KIMCZ,FBIS3-23491,625,0,0.0,0.0,0.0,0.0
KIMCZ,FT934-7301,643,0,0.07692307692307693,0.25,0.0,0.0
KIMCZ,FT942-8508,648,0,0.0,0.0,0.0,0.0
KIMCZ,LA031990-0016,700,2,0.07142857142857142,0.2,0.0,0.0
VXDPZ,LA040789-0040,314,0,0.0,0.0,0.0,0.0
VXDPZ,LA081190-0094,329,0,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.2
VXDPZ,LA122889-0074,331,0,0.0,0.0,0.0,0.0
VXDPZ,FBIS4-53910,331,0,0.125,0.3333333333333333,0.0,0.0
ZJDLX,FT931-4409,389,1,0.0,0.0,0.0,0.0
