doc,query,pq_q_recall,pq_q_ap,q_weight_perc
AP891215-0107,152,0.1111111111111111,0.04,0.09876543209876543
AP880225-0196,189,0.0,0.0,0.0
AP890308-0225,155,0.0,0.0,0.0
AP881119-0060,144,0.0,0.0,0.0
AP880827-0141,183,0.0,0.0,0.0
AP890202-0234,176,0.0,0.0,0.0
AP891104-0005,146,0.0,0.0,0.0
AP881206-0121,137,0.0,0.0,0.0
AP880421-0310,195,0.25,0.21428571428571427,0.2682926829268293
AP880220-0009,181,0.0,0.0,0.0
AP881027-0126,153,0.25,0.13888888888888887,0.2153846153846154
AP890925-0191,188,0.0,0.0,0.0
AP890107-0088,146,0.0,0.0,0.0
AP881129-0210,145,0.16666666666666666,0.0625,0.10344827586206896
AP881129-0210,155,0.0,0.0,0.0
AP891130-0220,187,0.0,0.0,0.0
AP891223-0097,189,0.0,0.0,0.0
AP890430-0036,108,0.3333333333333333,0.08333333333333333,0.078125
AP890430-0036,141,0.2,0.4,0.421875
AP880428-0135,182,0.16666666666666666,0.05555555555555555,0.12903225806451613
AP880428-0135,148,0.0,0.0,0.0
AP891219-0099,185,0.16666666666666666,0.05555555555555555,0.09722222222222222
AP891219-0099,103,0.5,0.08333333333333333,0.09722222222222222
AP890404-0141,192,0.6666666666666666,0.2619047619047619,0.22727272727272727
AP890404-0141,154,1.0,0.39285714285714285,0.22727272727272727
AP890404-0141,137,0.0,0.0,0.0
AP891124-0188,142,0.0,0.0,0.0
AP891124-0188,143,0.0,0.0,0.0
AP880312-0006,142,0.0,0.0,0.0
AP880312-0006,143,0.0,0.0,0.0
AP891208-0058,126,0.0,0.0,0.0
AP890505-0258,187,0.0,0.0,0.0
AP891211-0031,144,0.16666666666666666,0.03125,0.07017543859649122
AP890626-0132,154,0.5,0.5,0.14583333333333334
AP890211-0142,121,0.0,0.0,0.0
AP890525-0147,192,0.6666666666666666,0.27777777777777773,0.2222222222222222
AP890525-0147,174,0.0,0.0,0.0
AP890525-0147,154,1.0,0.41666666666666663,0.2222222222222222
AP880706-0299,157,0.0,0.0,0.0
AP891130-0014,101,0.1111111111111111,0.03571428571428571,0.10810810810810811
AP880325-0087,176,0.0,0.0,0.0
AP890128-0016,150,0.0,0.0,0.0
AP891023-0111,193,0.0,0.0,0.0
AP881026-0117,193,0.0,0.0,0.0
AP880627-0153,142,0.125,0.08333333333333333,0.15384615384615385
AP881116-0010,159,0.0,0.0,0.0
AP880916-0032,179,0.16666666666666666,0.06666666666666667,0.10294117647058823
AP880916-0032,142,0.0,0.0,0.0
AP881204-0007,119,0.0,0.0,0.0
AP890719-0025,163,0.6,0.525,0.3333333333333333
AP890719-0025,123,0.0,0.0,0.0
AP880421-0166,188,0.0,0.0,0.0
AP880530-0182,194,0.0,0.0,0.0
AP890728-0157,114,0.75,0.6041666666666666,0.4
AP890419-0139,188,0.0,0.0,0.0
AP880608-0215,164,0.16666666666666666,0.2,0.2727272727272727
AP890202-0227,159,0.3333333333333333,0.16666666666666666,0.13793103448275862
AP890422-0040,192,0.3333333333333333,0.16666666666666666,0.14035087719298245
AP890422-0040,154,0.5,0.25,0.14035087719298245
AP880823-0204,162,0.0,0.0,0.0
AP890523-0136,166,0.2,0.25,0.1506849315068493
AP890729-0052,192,0.3333333333333333,0.1111111111111111,0.11363636363636363
AP890729-0052,154,0.5,0.16666666666666666,0.11363636363636363
AP880914-0112,155,0.16666666666666666,0.25,0.15384615384615385
AP880502-0077,145,0.16666666666666666,0.0625,0.109375
AP880502-0077,130,0.16666666666666666,0.03571428571428571,0.0625
AP890518-0144,140,0.0,0.0,0.0
AP891127-0132,148,0.0,0.0,0.0
AP890927-0033,119,0.0,0.0,0.0
AP891108-0155,179,0.0,0.0,0.0
AP891120-0176,139,0.25,0.23809523809523808,0.3181818181818182
AP881001-0081,150,0.25,0.08333333333333333,0.09782608695652174
AP881111-0167,163,0.8,1.0,0.5238095238095238
AP881121-0106,199,0.0,0.0,0.0
AP880823-0008,116,0.0,0.0,0.0
AP880320-0047,126,0.2,0.25,0.18
AP880802-0073,178,0.5,0.5,0.20689655172413793
AP880414-0285,195,0.375,0.11224489795918367,0.2549019607843137
AP880718-0115,147,0.0,0.0,0.0
AP880420-0181,127,0.2,0.03125,0.08333333333333333
AP880711-0175,172,0.0,0.0,0.0
AP880711-0175,191,0.0,0.0,0.0
AP891212-0051,184,0.0,0.0,0.0
AP890629-0030,106,0.0,0.0,0.0
AP880313-0097,187,0.16666666666666666,0.027777777777777776,0.07692307692307693
AP880324-0305,172,0.08333333333333333,0.125,0.2465753424657534
AP880324-0305,173,1.0,0.7,0.3424657534246575
AP880723-0185,169,0.2,0.08333333333333333,0.14285714285714285
AP890802-0190,189,0.0,0.0,0.0
AP890403-0101,193,0.0,0.0,0.0
AP890403-0101,147,0.0,0.0,0.0
AP890403-0101,153,0.125,0.16666666666666666,0.23232323232323232
AP890403-0101,181,0.0,0.0,0.0
AP880811-0157,156,0.0,0.0,0.0
AP881206-0088,189,0.25,0.06666666666666667,0.09259259259259259
AP880220-0125,114,0.25,0.125,0.10526315789473684
AP880531-0026,127,0.0,0.0,0.0
AP891229-0186,147,0.16666666666666666,0.041666666666666664,0.08771929824561403
AP880310-0226,189,0.0,0.0,0.0
AP880803-0103,110,0.25,0.20370370370370372,0.29464285714285715
AP890104-0157,119,0.0,0.0,0.0
AP890311-0159,167,0.0625,0.012987012987012986,0.07352941176470588
AP890311-0159,187,0.0,0.0,0.0
AP880326-0137,194,0.0,0.0,0.0
AP891212-0076,113,0.5,0.3125,0.2857142857142857
AP891212-0076,114,0.5,0.375,0.32142857142857145
AP881104-0104,111,0.5,0.125,0.12
AP890202-0004,110,0.125,0.027777777777777776,0.1
AP890414-0017,154,1.0,0.75,0.35
AP881027-0186,144,0.3333333333333333,0.41666666666666663,0.3132530120481928
AP880601-0222,130,0.0,0.0,0.0
AP880610-0043,118,0.5,0.1,0.12121212121212122
AP880610-0043,119,0.25,0.06666666666666667,0.12121212121212122
AP880413-0234,199,0.0,0.0,0.0
AP880713-0031,185,0.0,0.0,0.0
AP880713-0031,199,0.0,0.0,0.0
AP880713-0031,156,0.0,0.0,0.0
AP880713-0031,103,0.0,0.0,0.0
AP880411-0049,189,0.0,0.0,0.0
AP880223-0026,150,0.25,0.06666666666666667,0.09433962264150944
AP890704-0109,110,0.25,0.20833333333333334,0.25
AP890522-0296,140,0.4,0.18055555555555555,0.22727272727272727
AP890522-0296,139,0.125,0.07142857142857142,0.13636363636363635
AP890522-0296,155,0.3333333333333333,0.1388888888888889,0.20454545454545456
AP881020-0180,178,0.0,0.0,0.0
AP880801-0121,180,0.0,0.0,0.0
AP881209-0034,160,0.0,0.0,0.0
AP891214-0098,193,0.0,0.0,0.0
AP891214-0098,197,0.0,0.0,0.0
AP891214-0098,151,0.0,0.0,0.0
AP891021-0077,156,0.16666666666666666,0.06666666666666667,0.1111111111111111
AP881024-0053,189,0.0,0.0,0.0
AP890901-0017,194,0.0,0.0,0.0
AP880603-0173,172,0.08333333333333333,0.025,0.08888888888888889
AP880603-0173,125,0.2,0.05,0.08888888888888889
AP880603-0173,165,0.3333333333333333,0.3055555555555556,0.28888888888888886
AP880603-0173,173,1.0,0.2,0.15555555555555556
AP890904-0045,126,0.2,0.05,0.075
AP890904-0045,199,0.2,0.05,0.075
AP880622-0316,184,0.5,0.29166666666666663,0.22916666666666666
AP880630-0145,149,0.0,0.0,0.0
AP890918-0032,195,0.25,0.07619047619047618,0.14583333333333334
AP891122-0068,178,0.5,0.5,0.15555555555555556
AP890205-0052,110,0.125,0.16666666666666666,0.16981132075471697
AP890205-0052,180,0.2,0.05555555555555555,0.09433962264150944
AP880613-0034,157,0.0,0.0,0.0
AP890419-0092,191,0.0,0.0,0.0
AP890419-0092,113,0.0,0.0,0.0
AP880521-0028,133,0.0,0.0,0.0
AP880221-0034,166,0.0,0.0,0.0
AP890916-0040,162,0.0,0.0,0.0
AP880606-0073,151,0.25,0.3333333333333333,0.22580645161290322
AP890531-0230,155,0.16666666666666666,0.03125,0.06578947368421052
AP880728-0157,148,0.16666666666666666,0.3333333333333333,0.14634146341463414
AP890226-0022,166,0.2,0.03125,0.07272727272727272
AP880409-0174,144,0.16666666666666666,0.0625,0.10526315789473684
AP880423-0081,185,0.0,0.0,0.0
AP880423-0081,103,0.0,0.0,0.0
AP880421-0011,118,0.5,0.07142857142857142,0.1
